,Unnamed: 0,node1,node2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,similarity,label
225,225,36710,36713,3.90865033712927,9.0,140.0,15.0,0.0,1
1458,1458,34873,34876,2.16404256133344,3.0,16.0,5.0,1.0,1
559,559,43665,43672,3.2191411430217003,8.0,81.0,10.0,1.0,1
562,562,117723,31892,0.24524606180983,1.0,2310.0,100.0,0.0,0
9,9,81820,31891,0.0,0.0,21.0,10.0,0.0,0
373,373,40979,40980,1.87698952279222,3.0,1760.0,183.0,0.0,1
664,664,226553,31892,0.169494474237384,1.0,462.0,72.0,0.0,0
879,879,38160,38162,4.207353265600919,11.0,216.0,19.0,0.0,1
855,855,45664,31892,1.6213178847786498,6.0,1584.0,84.0,0.0,0
1293,1293,66029,31891,0.267546386419054,1.0,150.0,52.0,0.0,0
426,426,144683,31891,0.0,0.0,69.0,26.0,0.0,0
189,189,160348,31892,0.0,0.0,1122.0,83.0,0.0,0
220,220,72900,31891,0.267546386419054,1.0,84.0,30.0,0.0,0
266,266,54926,31892,0.169494474237384,1.0,924.0,79.0,0.0,0
688,688,42312,42317,2.55122623427532,6.0,217.0,32.0,0.0,1
515,515,72896,31891,0.0,0.0,21.0,10.0,0.0,0
101,101,106236,31891,0.0,0.0,75.0,28.0,0.0,0
7,7,42867,42872,7.25731535758832,24.0,625.0,26.0,0.0,1
300,300,240933,31891,0.506229538510084,2.0,33.0,12.0,0.0,0
506,506,38007,38009,4.67845494301536,12.0,169.0,14.0,0.0,1
1684,1684,54000,31891,0.0,0.0,183.0,64.0,0.0,0
1027,1027,237930,31892,0.169494474237384,1.0,528.0,73.0,0.0,0
1753,1753,41614,41616,2.48533973823845,4.0,25.0,6.0,1.0,1
974,974,118092,31891,0.0,0.0,192.0,67.0,0.0,0
1627,1627,141156,31892,0.31066746727980604,1.0,858.0,78.0,0.0,0
22,22,94169,31891,0.0,0.0,72.0,27.0,0.0,0
1508,1508,66035,31891,0.267546386419054,1.0,57.0,21.0,0.0,0
1447,1447,238503,31892,0.239556115747019,1.0,924.0,79.0,0.0,0
1632,1632,41831,41841,5.60779904600849,17.0,522.0,30.0,0.0,1
1167,1167,153065,31892,0.254334778144042,1.0,1716.0,91.0,0.0,0
1597,1597,83321,31891,0.267546386419054,1.0,45.0,17.0,0.0,0
357,357,162157,31892,0.7697243502066441,3.0,462.0,70.0,0.0,0
427,427,261293,31892,0.169494474237384,1.0,330.0,70.0,0.0,0
165,165,31929,31930,8.753657514515659,25.0,884.0,35.0,0.53416149068323,1
524,524,42384,42389,2.5784187624661805,5.0,36.0,7.0,0.0,1
76,76,37553,37555,2.16404256133344,3.0,16.0,5.0,0.0,1
530,530,44146,44158,5.26600563860026,15.0,944.0,60.0,0.0,1
1141,1141,42862,42875,7.312360606232799,24.0,1250.0,51.0,0.0,1
89,89,269893,31892,1.09480540890609,4.0,990.0,77.0,0.0,0
1510,1510,54569,31891,0.0,0.0,69.0,26.0,0.0,0
313,313,43475,43476,0.0,0.0,9.0,10.0,0.5368421052631579,1
1491,1491,238504,31892,0.239556115747019,1.0,1188.0,83.0,0.0,0
1014,1014,37650,37657,2.51105596593884,5.0,36.0,7.0,0.0,1
256,256,35263,35264,1.44269504088896,2.0,9.0,4.0,1.0,1
643,643,41133,44312,4.06917816859334,12.0,345.0,26.0,0.0,1
1296,1296,39752,42619,4.59925116504389,12.0,741.0,58.0,0.0,1
390,390,239636,31892,0.169494474237384,1.0,660.0,75.0,0.0,0
837,837,79600,31891,0.0,0.0,72.0,27.0,0.0,0
1379,1379,39750,39756,4.45671786674266,12.0,169.0,14.0,0.0,1
1200,1200,269515,31891,0.23868315209103,1.0,60.0,22.0,0.0,0
660,660,45662,31892,0.0,0.0,990.0,81.0,0.0,0
732,732,42874,42879,7.32568395434345,24.0,1550.0,63.0,0.0,1
386,386,128692,31892,0.233075271708509,1.0,594.0,74.0,0.0,0
1185,1185,118084,31891,0.0,0.0,84.0,31.0,0.0,0
609,609,153058,31892,0.254334778144042,1.0,1716.0,91.0,0.0,0
218,218,72895,31891,0.0,0.0,21.0,10.0,0.0,0
1631,1631,237931,31891,0.0,0.0,24.0,11.0,0.0,0
1371,1371,104012,31891,0.267546386419054,1.0,54.0,20.0,0.0,0
1407,1407,141153,31892,0.31066746727980604,1.0,858.0,78.0,0.0,0
1606,1606,44779,44780,1.72175035416459,3.0,16.0,5.0,1.0,1
1471,1471,38234,38235,1.95659338325871,3.0,16.0,5.0,0.0,1
961,961,38161,38162,4.207353265600919,11.0,216.0,19.0,0.0,1
1140,1140,176386,31891,0.23868315209103,1.0,36.0,14.0,0.0,0
3,3,32958,32966,5.32434022085387,15.0,256.0,17.0,0.0,1
341,341,34466,44829,6.7783486071907495,23.0,29520.0,640.0,0.0,1
878,878,258201,31892,0.169494474237384,1.0,198.0,68.0,0.0,0
502,502,60709,31892,0.169494474237384,1.0,1848.0,93.0,0.0,0
463,463,35884,35885,3.08096331182837,7.0,64.0,9.0,0.0,1
864,864,42692,42697,5.968119516708291,18.0,1260.0,55.0,0.0,1
600,600,38154,38159,4.15089991748027,11.0,144.0,13.0,0.0,1
1107,1107,42861,42872,7.25731535758832,24.0,625.0,26.0,0.0,1
1244,1244,141150,31891,0.0,0.0,39.0,16.0,0.0,0
1129,1129,164476,31892,0.0,0.0,792.0,78.0,0.0,0
458,458,37418,37419,5.3537078873371104,16.0,493.0,30.0,0.0,1
105,105,37402,37416,5.38139958364609,16.0,697.0,42.0,0.0,1
714,714,176396,31891,0.23868315209103,1.0,36.0,14.0,0.0,0
499,499,41143,41146,0.7740486022172199,2.0,9.0,4.0,1.0,1
423,423,42317,42319,2.61000496333165,6.0,279.0,34.0,0.0,1
1053,1053,42864,42880,7.25731535758832,24.0,625.0,26.0,0.0,1
1333,1333,128687,31892,0.233075271708509,1.0,594.0,74.0,0.0,0
1250,1250,41204,44152,5.25293393360276,15.0,768.0,49.0,0.0,1
1002,1002,59545,31892,0.169494474237384,1.0,990.0,80.0,0.0,0
761,761,146953,31891,0.267546386419054,1.0,123.0,43.0,0.0,0
407,407,38013,38014,4.67845494301536,12.0,169.0,14.0,0.0,1
589,589,42078,42080,3.5756672332727497,11.0,4136.0,127.0,0.0,1
446,446,32127,32128,2.33078647317019,5.0,60.0,11.0,0.0,1
818,818,85248,31892,0.169494474237384,1.0,2046.0,96.0,0.0,0
1047,1047,40327,40328,1.71614420977722,3.0,16.0,5.0,0.0,1
474,474,204852,31891,0.0,0.0,75.0,28.0,0.0,0
1234,1234,219433,31892,0.169494474237384,1.0,1188.0,83.0,0.0,0
968,968,42864,42882,7.25731535758832,24.0,625.0,26.0,0.0,1
1155,1155,48843,31891,0.0,0.0,30.0,13.0,0.0,0
1143,1143,41651,41652,0.791292394500711,3.0,752.0,60.0,0.0,1
1104,1104,212212,31892,0.233075271708509,1.0,1782.0,92.0,0.0,0
591,591,32431,32435,9.3984268163605,17.0,504.0,29.0,0.6823770491803279,1
33,33,124899,31891,0.0,0.0,24.0,11.0,0.0,0
492,492,44203,44206,1.42413756899659,2.0,9.0,4.0,1.0,1
1580,1580,36129,36130,1.82047845325367,2.0,9.0,4.0,1.0,1
523,523,41936,31892,0.169494474237384,1.0,2046.0,96.0,0.0,0
1028,1028,42062,42079,3.54949673398733,11.0,4620.0,221.0,0.0,1
1551,1551,43670,31892,0.169494474237384,1.0,594.0,74.0,0.0,0
391,391,180690,31891,0.0,0.0,21.0,10.0,0.0,0
1397,1397,43328,43329,1.82047845325367,2.0,9.0,4.0,0.0,1
1490,1490,41821,41834,5.61711213095273,17.0,570.0,32.0,0.0,1
941,941,42876,42878,7.25731535758832,24.0,625.0,26.0,0.0,1
576,576,175365,31891,0.0,0.0,33.0,14.0,0.0,0
929,929,42760,42762,1.82047845325367,2.0,9.0,4.0,1.0,1
792,792,229460,31891,0.0,0.0,15.0,8.0,0.0,0
1138,1138,39591,39600,4.60049577133676,12.0,169.0,14.0,0.0,1
207,207,37249,37251,14.044369905469301,30.0,4340.0,141.0,0.0,1
995,995,274244,31891,0.0,0.0,57.0,22.0,0.0,0
312,312,43475,43476,0.0,0.0,9.0,10.0,0.5368421052631579,1
1623,1623,236347,31891,0.0,0.0,36.0,15.0,0.0,0
680,680,250698,31891,0.0,0.0,42.0,17.0,0.0,0
1094,1094,93175,31892,0.169494474237384,1.0,1056.0,81.0,0.0,0
112,112,44203,44205,1.42413756899659,2.0,9.0,4.0,1.0,1
44,44,111301,31892,0.169494474237384,1.0,264.0,69.0,0.0,0
603,603,144681,31892,0.169494474237384,1.0,528.0,73.0,0.0,0
1378,1378,41032,41033,3.56476047488388,8.0,81.0,10.0,0.0,1
118,118,147951,31891,0.23868315209103,1.0,48.0,18.0,0.0,0
414,414,113841,31891,0.0,0.0,96.0,35.0,0.0,0
1707,1707,44150,44155,5.19232271150629,15.0,368.0,24.0,0.0,1
1230,1230,36138,36283,1.62963344829303,5.0,117.0,17.0,0.0,1
1553,1553,37521,37523,4.261856799493,11.0,192.0,17.0,0.0,1
1717,1717,35487,35488,4.64291649394233,10.0,121.0,12.0,0.0,1
60,60,39756,39758,4.53592164471413,12.0,325.0,26.0,0.0,1
955,955,65569,31892,0.294014103795206,1.0,2838.0,108.0,0.0,0
567,567,221731,31891,0.0,0.0,24.0,11.0,0.0,0
1041,1041,38883,42293,2.20782790264241,5.0,60.0,11.0,0.0,1
844,844,129900,31891,0.0,0.0,42.0,17.0,0.0,0
1468,1468,42865,42867,7.25731535758832,24.0,625.0,26.0,0.0,1
1742,1742,111302,31891,0.0,0.0,69.0,26.0,0.0,0
153,153,43391,43393,2.79622201861426,6.0,49.0,8.0,1.0,1
897,897,39697,39701,2.1440934156206,5.0,54.0,10.0,0.0,1
1495,1495,38009,38011,4.67845494301536,12.0,169.0,14.0,0.0,1
1128,1128,44854,44857,3.25545585778516,8.0,2016.0,134.0,0.0,1
1006,1006,42717,43185,6.6640249968339305,21.0,1958.0,90.0,0.0,1
526,526,73098,31892,0.232338493574117,1.0,1386.0,86.0,0.0,0
345,345,171313,31892,0.24524606180983,1.0,792.0,77.0,0.0,0
376,376,41827,41838,5.58584426147805,17.0,414.0,24.0,0.0,1
628,628,43519,43523,1.82047845325367,2.0,9.0,4.0,1.0,1
184,184,42871,42877,7.25731535758832,24.0,625.0,26.0,0.0,1
1108,1108,232828,31891,0.0,0.0,18.0,9.0,0.0,0
398,398,274234,31892,0.169494474237384,1.0,1254.0,84.0,0.0,0
72,72,34563,34566,1.44269504088896,1.0,4.0,3.0,1.0,1
1276,1276,35877,35879,3.08096331182837,7.0,64.0,9.0,1.0,1
1300,1300,189474,31891,0.0,0.0,129.0,46.0,0.0,0
0,0,37510,37518,4.2201009553334,11.0,144.0,13.0,0.0,1
1227,1227,43015,43024,3.12469528993052,8.0,162.0,19.0,0.584507042253521,1
1365,1365,36709,36711,3.85327903691596,9.0,100.0,11.0,0.0,1
1165,1165,38152,38156,4.15089991748027,11.0,144.0,13.0,1.0,1
503,503,41786,41791,3.3662884287409103,7.0,64.0,9.0,0.0,1
1067,1067,33285,33288,2.51668896077654,5.0,36.0,7.0,0.0,1
1689,1689,42698,43186,2.55093999237919,8.0,12915.0,220.0,0.0,1
171,171,162157,31891,0.0,0.0,21.0,10.0,0.0,0
304,304,40980,31891,0.0,0.0,528.0,179.0,0.0,0
1654,1654,41216,41218,6.3784921343668,20.0,2250.0,75.0,0.0,1
1484,1484,36897,39204,2.24336895447222,8.0,1357.0,74.0,0.0,1
1189,1189,39597,39602,4.61144383489809,12.0,182.0,15.0,0.0,1
1193,1193,195031,31891,0.0,0.0,24.0,11.0,0.0,0
497,497,43877,43887,3.32147158292676,11.0,792.0,67.0,0.0,1
820,820,198073,31891,0.0,0.0,12.0,7.0,0.0,0
638,638,183439,31892,0.477584555383948,2.0,1122.0,81.0,0.0,0
1366,1366,129904,31891,0.0,0.0,42.0,17.0,0.0,0
1218,1218,36169,36170,2.2538760489301204,4.0,25.0,6.0,0.0,1
1513,1513,269510,31891,0.23868315209103,1.0,60.0,22.0,0.0,0
1709,1709,269889,31892,1.09480540890609,4.0,990.0,77.0,0.0,0
694,694,43372,43373,3.3662884287409103,7.0,64.0,9.0,0.0,1
278,278,243051,31892,0.531245729312505,2.0,528.0,72.0,0.0,0
1306,1306,42031,42039,3.90865033712927,9.0,100.0,11.0,0.0,1
622,622,128695,31891,0.0,0.0,27.0,12.0,0.0,0
1354,1354,42869,42870,7.25731535758832,24.0,625.0,26.0,0.0,1
777,777,42994,42995,2.7905531327562403,5.0,36.0,7.0,0.0,1
1136,1136,37514,37518,4.2765543034540485,11.0,216.0,19.0,0.0,1
