,node1,node2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,similarity,label
0,34747,34748,1.95005178956223,4.0,45.0,10.0,0.0,1
1,109825,31892,0.169494474237384,1.0,1518.0,88.0,0.0,0
2,57912,64283,2.5159039868389703,5.0,860.0,58.0,0.0,1
3,128472,31892,0.0,0.0,2112.0,98.0,0.0,0
4,92887,31892,0.0,0.0,330.0,71.0,0.0,0
5,47598,47599,2.93016547207099,6.0,49.0,8.0,0.0,1
6,55495,55498,2.93876108491761,6.0,49.0,8.0,0.0,1
7,53376,53377,4.23332941779483,13.0,336.0,25.0,0.0,1
8,57361,31892,0.0,0.0,2376.0,102.0,0.0,0
9,106233,31892,0.233075271708509,1.0,1650.0,90.0,0.0,0
10,62622,31892,0.0,0.0,660.0,76.0,0.0,0
11,34890,46895,4.91115466051918,15.0,10512.0,202.0,0.0,1
12,45324,45326,2.50029449836555,7.0,144.0,19.0,0.0,1
13,102977,31892,0.0,0.0,264.0,70.0,0.0,0
14,39599,39603,4.61144383489809,12.0,182.0,15.0,0.0,1
15,61202,31892,0.0,0.0,594.0,75.0,0.0,0
16,62505,62507,3.26551207763712,8.0,350.0,31.0,0.0,1
17,35781,35785,1.44269504088896,1.0,4.0,3.0,0.0,1
18,61609,63608,7.6242470269851195,27.0,1932.0,70.0,0.0,1
19,55200,55201,1.42413756899659,2.0,66.0,23.0,0.0,1
20,35814,57911,9.665065666121867,34.0,9027.0,178.0,0.0,1
21,58610,58613,1.82047845325367,2.0,9.0,4.0,0.0,1
22,38152,38162,4.207353265600919,11.0,216.0,19.0,0.0,1
23,162316,31892,0.0,0.0,2376.0,102.0,0.0,0
24,39591,39597,4.60049577133676,12.0,169.0,14.0,0.0,1
25,48952,57396,2.09708007538734,4.0,1232.0,158.0,0.0,1
26,117999,31892,0.0,0.0,2376.0,102.0,0.0,0
27,38902,38904,0.7213475204444821,1.0,4.0,3.0,1.0,1
28,38902,38904,0.7213475204444821,1.0,4.0,3.0,1.0,1
29,39209,39211,1.77697693690735,4.0,186.0,33.0,0.0,1
30,49336,31892,0.0,0.0,6072.0,158.0,0.0,0
31,59874,31892,0.0,0.0,462.0,73.0,0.0,0
32,44875,44884,3.1724723392297705,8.0,81.0,10.0,0.0,1
33,239631,31891,0.0,0.0,30.0,13.0,0.0,0
34,63588,63606,7.603814577952749,27.0,1350.0,48.0,0.0,1
35,275214,31892,0.0,0.0,462.0,73.0,0.0,0
36,204866,31892,0.169494474237384,1.0,924.0,79.0,0.0,0
37,216446,31892,0.0,0.0,2376.0,102.0,0.0,0
38,165656,31892,0.0,0.0,594.0,75.0,0.0,0
39,61246,61248,1.28159474146868,3.0,76.0,20.0,0.0,1
40,37552,37553,2.16404256133344,3.0,16.0,5.0,0.0,1
41,54563,54567,2.6586469441251297,7.0,171.0,21.0,0.0,1
42,41206,56382,4.00116599216218,12.0,3828.0,137.0,0.0,1
43,118092,31891,0.0,0.0,192.0,67.0,0.0,0
44,141160,31891,0.0,0.0,90.0,33.0,0.0,0
45,48365,48366,2.48533973823845,4.0,25.0,6.0,0.0,1
46,42703,53349,3.23549342498369,9.0,340.0,35.0,0.0,1
47,43152,49968,6.6692703138339695,21.0,900.0,40.0,0.45100222717149197,1
