,node1,node2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,similarity,label
0,83296,31907,0.563143377714551,2.0,285.0,32.0,0.0,0
1,58845,58849,2.48533973823845,4.0,25.0,6.0,1.0,1
2,72341,72344,3.7381541233977997,10.0,121.0,12.0,0.0,1
3,61609,31891,0.0,0.0,207.0,72.0,0.0,0
4,46447,46449,5.33980565349738,12.0,390.0,31.0,0.0,1
5,58014,58018,1.44269504088896,1.0,4.0,3.0,1.0,1
6,66067,66079,5.29124242490379,16.0,2091.0,76.0,0.0,1
7,204039,31892,0.0,0.0,924.0,80.0,0.0,0
8,62626,31892,0.0,0.0,660.0,76.0,0.0,0
9,54818,54829,4.990881315759482,17.0,324.0,19.0,1.0,1
10,79999,31892,0.0,0.0,264.0,70.0,0.0,0
11,40307,40309,2.6667369881082403,5.0,36.0,7.0,0.0,1
12,52890,52892,1.82548511038819,5.0,36.0,7.0,0.0,1
13,38940,38942,3.31968456368118,7.0,152.0,20.0,0.0,1
14,180686,31892,0.518338161076792,2.0,462.0,71.0,0.0,0
15,78055,78059,3.44434756396751,8.0,81.0,10.0,0.0,1
16,175453,31892,0.0,0.0,792.0,78.0,0.0,0
17,63383,63384,2.1044539771603303,4.0,85.0,18.0,0.0,1
18,73100,31891,0.0,0.0,18.0,9.0,0.0,0
19,75898,75905,2.7905531327562403,5.0,36.0,7.0,0.0,1
20,225036,31891,0.0,0.0,39.0,16.0,0.0,0
21,37417,37421,5.44322533085745,16.0,2108.0,125.0,0.0,1
22,71888,76198,3.0998264725252795,9.0,320.0,33.0,0.0,1
23,63592,63593,7.600694062089139,27.0,1316.0,48.0,0.603448275862069,1
24,51028,51029,2.4221154302300802,4.0,25.0,6.0,0.0,1
25,76390,31892,0.239556115747019,1.0,396.0,71.0,0.0,0
26,196129,31892,0.0,0.0,198.0,69.0,0.0,0
27,66027,66033,6.24861236854336,20.0,882.0,43.0,0.0,1
28,56124,56136,4.9829616658830895,15.0,368.0,24.0,0.0,1
29,66797,66802,2.7975755694065603,8.0,243.0,28.0,0.0,1
30,67051,31892,0.0,0.0,1320.0,86.0,0.0,0
31,95099,31907,0.259730302172272,1.0,532.0,46.0,0.0,0
32,238600,31892,0.0,0.0,462.0,73.0,0.0,0
33,193771,31907,0.0,0.0,95.0,24.0,0.0,0
34,70321,70328,5.598438908611209,16.0,289.0,18.0,0.0,1
35,120535,31892,0.0,0.0,330.0,71.0,0.0,0
36,225034,31892,0.0,0.0,858.0,79.0,0.0,0
37,72305,72316,6.2323216925571,20.0,546.0,27.0,0.0,1
38,80803,80804,6.7453525845437685,24.0,1575.0,64.0,0.0,1
39,203487,31892,0.0,0.0,594.0,75.0,0.0,0
40,48292,31907,0.267546386419054,1.0,95.0,23.0,0.0,0
41,48582,59871,5.73984714669898,15.0,340.0,22.0,0.63768115942029,1
42,48582,59871,5.73984714669898,15.0,340.0,22.0,0.63768115942029,1
43,68293,31892,0.0,0.0,792.0,78.0,0.0,0
44,50981,50989,3.7132880922858704,10.0,209.0,20.0,0.0,1
45,199870,31891,0.0,0.0,15.0,8.0,0.0,0
46,72387,72393,4.62194618879017,13.0,266.0,20.0,0.0,1
47,78973,78976,1.81115500955349,4.0,25.0,6.0,1.0,1
48,78973,78976,1.81115500955349,4.0,25.0,6.0,1.0,1
49,217181,31892,0.0,0.0,1914.0,95.0,0.0,0
50,196754,31892,0.0,0.0,396.0,72.0,0.0,0
51,66032,31891,0.267546386419054,1.0,69.0,25.0,0.0,0
52,101855,31892,0.0,0.0,2112.0,98.0,0.0,0
53,118078,31892,0.169494474237384,1.0,2574.0,104.0,0.0,0
54,128692,31891,0.0,0.0,27.0,12.0,0.0,0
55,48334,72291,3.07560026724827,5.0,120.0,17.0,0.5331325301204821,1
56,48334,72291,3.07560026724827,5.0,120.0,17.0,0.5331325301204821,1
57,79238,79239,2.66132172942866,8.0,126.0,15.0,0.5398773006134969,1
58,72891,31892,0.0,0.0,528.0,74.0,0.0,0
59,47771,62955,3.3367784158439497,11.0,1300.0,65.0,0.0,1
60,191355,31892,0.0,0.0,1254.0,85.0,0.0,0
61,54190,54191,3.04818000681858,10.0,176.0,17.0,0.0,1
62,55506,55508,2.2244722236111802,5.0,102.0,18.0,0.0,1
63,45112,45115,1.82047845325367,2.0,117.0,40.0,0.8028169014084509,1
64,138940,31892,0.0,0.0,792.0,78.0,0.0,0
65,176492,31892,0.0,0.0,396.0,72.0,0.0,0
66,102225,31907,0.259730302172272,1.0,266.0,32.0,0.0,0
67,106234,31891,0.0,0.0,75.0,28.0,0.0,0
68,54507,54508,4.52524076589683,14.0,738.0,45.0,0.0,1
69,42299,66292,2.5513188039287797,6.0,198.0,23.0,0.0,1
70,47128,54564,5.68922755201,13.0,448.0,33.0,0.0,1
71,111304,31892,0.169494474237384,1.0,264.0,69.0,0.0,0
72,160346,31892,0.0,0.0,1122.0,83.0,0.0,0
73,36292,36293,11.297872294635804,27.0,924.0,34.0,0.9158620689655173,1
74,36292,36293,11.297872294635804,27.0,924.0,34.0,0.9158620689655173,1
75,54378,54380,2.46988820706085,5.0,60.0,11.0,0.0,1
76,41999,31892,0.0,0.0,4026.0,127.0,0.0,0
77,49261,68261,7.83683437712776,27.0,4557.0,115.0,0.0,1
78,41203,41209,5.67012554477531,18.0,361.0,20.0,0.0,1
79,39021,43854,2.66278795038562,9.0,500.0,51.0,0.0,1
80,233927,31892,0.0,0.0,528.0,74.0,0.0,0
81,261292,31892,0.169494474237384,1.0,330.0,70.0,0.0,0
82,73477,73478,2.16404256133344,3.0,16.0,5.0,0.0,1
83,55161,74480,4.56894564835894,15.0,432.0,28.0,0.5436241610738249,1
84,257250,31892,0.0,0.0,594.0,75.0,0.0,0
85,75592,75598,9.58143116357403,36.0,1924.0,53.0,0.0,1
86,83299,31907,0.563143377714551,2.0,190.0,27.0,0.0,0
87,149692,31892,0.0,0.0,990.0,81.0,0.0,0
88,224961,31892,0.0,0.0,858.0,79.0,0.0,0
89,48178,56746,0.0,0.0,20.0,21.0,0.0,1
90,62915,66705,8.11351170841496,23.0,850.0,36.0,0.449799196787149,1
91,243052,31892,0.531245729312505,2.0,528.0,72.0,0.0,0
92,75593,75602,9.55757813944249,36.0,1369.0,38.0,0.0,1
